X (cm),Y (cm)
-5.76255,-6.52506
-5.7317157,-6.523713
-5.701532,-6.490792
-5.6707006,-6.4894447
-5.6398683,-6.488097
-5.6090355,-6.4867496
-5.5480356,-6.452487
-5.5172048,-6.4511395
-5.486373,-6.4497914
-5.4562182,-6.4168825
-5.425389,-6.415535
-5.3952427,-6.3826323
-5.3644156,-6.381284
-5.333588,-6.379936
-5.3034534,-6.34704
-5.2726283,-6.3456917
-5.2425027,-6.312802
-5.2116795,-6.3114533
-5.1815624,-6.2785697
-5.1514516,-6.2456927
-5.1206336,-6.244344
-5.0905313,-6.2114735
-5.060435,-6.1786094
-5.029622,-6.1772604
-4.999534,-6.1444025
-4.9694524,-6.1115513
-4.938645,-6.110202
-4.9085717,-6.077357
-4.909307,-6.045868
-4.879243,-6.0130363
-4.849185,-5.980211
-4.8191333,-5.947392
-4.7883396,-5.946042
-4.758296,-5.9132295
-4.759047,-5.8817735
-4.729013,-5.848974
-4.6989846,-5.816181
-4.6689625,-5.783395
-4.638946,-5.750615
-4.639709,-5.7191925
-4.6089354,-5.7178416
-4.578931,-5.6850743
-4.548932,-5.6523137
-4.5189395,-5.61956
-4.4889526,-5.586812
-4.489732,-5.555423
-4.459754,-5.522688
-4.428997,-5.521336
-4.3990283,-5.488608
-4.369065,-5.4558864
-4.339108,-5.423171
-4.3083587,-5.4218187
-4.3091564,-5.3904624
-4.279211,-5.35776
-4.2484674,-5.356407
-4.218531,-5.323711
-4.1886,-5.2910213
-4.1578617,-5.2896686
-4.1279397,-5.256985
-4.0980234,-5.2243085
-4.06729,-5.222955
-4.0373826,-5.1902847
-4.0066514,-5.1889315
-3.9767525,-5.156267
-3.9460235,-5.1549134
-3.9161334,-5.122256
-3.8854067,-5.120902
-3.8555253,-5.08825
-3.8248007,-5.0868964
-3.794928,-5.054251
-3.764206,-5.052897
-3.7343419,-5.020258
-3.7036219,-5.0189037
-3.6729014,-5.01755
-3.6123307,-4.9835625
-3.5816119,-4.9822083
